caption,engagement,topic,n_hashtags,n_emoji,char_len
a quick guide to setting up the spreadsheet correctly works every time beautiful #foryou,63.1101,howto,1,0,88
from broken to proof that change is possible you can too awful #daily #trending #viral #shorts #reels,67.4485,transformation,5,0,101
a quick guide to organizing a tiny kitchen efficiently save this for later ❤️,69.1676,howto,0,1,77
im so tired of traffic on a road with no reason im done best #foryou #viral #shorts 🙌😂👀❤️,22.5551,rant,3,4,89
found so much friends showing up when it mattered this is everything love #trending #explore #daily #shorts #daily ❤️👀,80.8554,wholesome,5,2,118
link in bio for exclusive bundle while supplies last act quickly love #shorts #fyp #viral #fyp #viral 😭,44.5843,promo,5,1,103
a quick guide to fixing a leaking faucet yourself works every time annoying #daily #shorts #foryou ❤️✨😂😭,44.5334,howto,3,4,104
the glow up is small habits compounding daily keep going #foryou #fyp #daily #shorts 😂,89.2271,transformation,4,1,86
a quick guide to folding a fitted sheet properly save this for later 🔥👀😭,48.4691,howto,0,3,72
unpopular opinion but the constant noise from the neighbors thats all #daily #fyp ✨👀,33.1539,rant,2,2,84
use my code the new collection just launched act quickly #foryou 👀✨✨,50.3776,promo,1,3,68
the glow up is proof that change is possible keep going love #shorts #fyp #foryou 😂🙌😭,64.0856,transformation,3,3,85
a quick guide to wiring the shelf bracket safely save this for later #foryou #viral 💯❤️,47.6403,howto,2,2,87
day 90 of proof that change is possible keep going best #daily #reels #explore #shorts #viral 😭🙌❤️👀,60.2983,transformation,5,4,99
im so tired of traffic on a road with no reason end of rant amazing 😂😭,33.8544,rant,0,2,70
can we stop endless emails that should be calls anyway whatever awful #fyp ✨✨,12.5046,rant,1,2,77
limited drop biggest sale of the entire season act quickly #shorts #foryou 🙌👀👀,39.9606,promo,2,3,78
just some pure a dog reunited with its family this is everything #fyp #daily ❤️,71.5845,wholesome,2,1,79
watch this become rebuilt myself stronger no going back #fyp 👀❤️,77.5643,transformation,1,2,64
dont miss the the new collection just launched shop now worst #reels #daily #reels #daily #daily ✨🔥🔥👀,27.0001,promo,5,4,101
limited drop twenty percent off everything storewide shop now #daily #foryou #viral #fyp ✨🙌💯,56.4834,promo,4,3,92
the glow up is the before and after nobody believed you can too boring ✨🔥,73.3361,transformation,0,2,73
the simple method for setting up the spreadsheet correctly save this for later ❤️😂✨,53.8497,howto,0,3,83
nobody asked but traffic on a road with no reason end of rant #fyp,40.377,rant,1,0,66
here is exactly how fixing a leaking faucet yourself try it tonight #foryou #viral,37.0014,howto,2,0,82
can we stop another pointless software update again end of rant awful #viral 😂😭🙌,26.8089,rant,1,3,80
the simple method for cleaning grout without scrubbing forever save this for later boring #shorts,53.6779,howto,1,0,97
a quick guide to fixing a leaking faucet yourself works every time #trending #foryou #viral #reels #shorts 🔥🙌🙌✨,60.7123,howto,5,4,111
dont miss the subscribe for the discount today dont wait #trending #foryou 🙌👀,32.8551,promo,2,2,77
the simple method for setting up the spreadsheet correctly save this for later worst #foryou #foryou #reels #viral 💯,57.0489,howto,4,1,116
can we stop people who chew loudly in meetings thats all #trending #daily #explore #fyp #explore 😂👀❤️👀,22.8186,rant,5,4,102
a tiny reminder comfort and warmth and home this is everything love #shorts #viral #reels #foryou #explore 😭💯💯,69.413,wholesome,5,3,110
step by step setting up the spreadsheet correctly try it tonight #daily #fyp #viral 👀✨❤️,62.8023,howto,3,3,88
here is exactly how organizing a tiny kitchen efficiently save this for later amazing #shorts 👀,50.8229,howto,1,1,95
unpopular opinion but endless emails that should be calls anyway whatever amazing #shorts #daily #foryou #trending #viral 💯❤️😭✨,36.9035,rant,5,4,127
nobody asked but the constant noise from the neighbors anyway whatever best #explore 😂😂,29.3855,rant,1,2,87
day 90 of proof that change is possible no going back boring #reels #explore #daily 😭,98.5636,transformation,3,1,85
limited drop buy two and get one free act quickly #reels #daily ✨❤️🙌😂,47.2019,promo,2,4,69
nobody asked but slow walkers blocking the whole aisle thats all love #viral ❤️💯😂,20.0263,rant,1,3,81
can we stop traffic on a road with no reason anyway whatever best #explore ✨😂,29.4396,rant,1,2,77
found so much a dog reunited with its family be gentle today hate 😂✨✨,59.1603,wholesome,0,3,69
the simple method for fixing a leaking faucet yourself thank me later #explore #foryou 😭😭💯👀,62.2954,howto,2,4,91
from broken to small habits compounding daily you can too worst #trending 👀🙌,60.565,transformation,1,2,76
limited drop the new collection just launched dont wait #reels #explore #shorts #explore ❤️😭😭😭,43.3023,promo,4,4,94
im so tired of another pointless software update again im done hate #trending #daily #shorts ✨✨👀,28.7462,rant,3,3,96
limited drop biggest sale of the entire season dont wait happy #fyp ✨💯,14.8606,promo,1,2,70
link in bio for exclusive bundle while supplies last shop now #reels #shorts #fyp 👀,39.1064,promo,3,1,83
step by step folding a fitted sheet properly thank me later 🔥😭🙌,60.2788,howto,0,3,63
dont miss the exclusive bundle while supplies last dont wait best #explore #trending #shorts #explore 🔥,42.6016,promo,4,1,103
the glow up is finally healed and thriving keep going #explore #reels #reels 🔥🙌✨,73.3936,transformation,3,3,80
just some pure comfort and warmth and home hold your people close annoying #viral,83.2775,wholesome,1,0,81
can we stop the constant noise from the neighbors thats all #daily #foryou #viral #fyp ❤️🙌👀😭,20.8151,rant,4,4,92
a tiny reminder a dog reunited with its family this is everything #trending #foryou #daily #foryou 👀😂💯🙌,48.6461,wholesome,4,4,103
day 90 of proof that change is possible keep going #daily #trending #fyp #trending #daily ❤️😭,73.4846,transformation,5,2,93
watch this become small habits compounding daily you can too worst #reels #daily #explore #viral,69.2789,transformation,4,0,96
a tiny reminder a dog reunited with its family hold your people close boring #foryou #viral #shorts #explore #viral,64.0979,wholesome,5,0,115
a quick guide to wiring the shelf bracket safely thank me later #trending #foryou #viral #fyp #daily 👀,58.1688,howto,5,1,102
a tiny reminder gentle love on an ordinary day be gentle today beautiful #viral #shorts #fyp #explore 🔥,68.7088,wholesome,4,1,103
link in bio for the new collection just launched act quickly #reels #shorts #daily #viral #explore 😭✨😂,41.8288,promo,5,3,102
use my code subscribe for the discount today act quickly #daily #explore 💯❤️❤️,19.3532,promo,2,3,78
day 90 of rebuilt myself stronger no going back #shorts #trending #daily #fyp 🔥😂😭👀,74.0741,transformation,4,4,82
watch this become small habits compounding daily keep going love 🔥✨👀,69.4365,transformation,0,3,68
here is exactly how cleaning grout without scrubbing forever thank me later #shorts #shorts #reels #daily 😂🔥❤️❤️,44.9327,howto,4,4,112
im so tired of endless emails that should be calls thats all amazing,29.8094,rant,0,0,68
nobody asked but the constant noise from the neighbors anyway whatever annoying #trending #trending #explore #viral 😭✨💯🙌,41.3459,rant,4,4,120
dont miss the subscribe for the discount today shop now hate 🙌👀💯✨,45.0004,promo,0,4,65
here is exactly how setting up the spreadsheet correctly works every time love #trending #foryou 💯😭😂❤️,75.8389,howto,2,4,102
step by step cleaning grout without scrubbing forever save this for later beautiful #trending #reels 🙌💯❤️,61.2817,howto,2,3,105
watch this become small habits compounding daily no going back worst #trending #shorts #reels #fyp 😂👀😂🙌,75.0211,transformation,4,4,103
a quick guide to folding a fitted sheet properly try it tonight love #daily #foryou 😭🔥👀🙌,68.8833,howto,2,4,88
the simple method for cleaning grout without scrubbing forever save this for later best #fyp 🙌😭,43.8876,howto,1,2,95
step by step setting up the spreadsheet correctly thank me later #explore 😂💯✨❤️,38.8053,howto,1,4,79
step by step wiring the shelf bracket safely save this for later #foryou #shorts #explore #daily #fyp 🙌,57.7391,howto,5,1,103
here is exactly how fixing a leaking faucet yourself thank me later amazing #foryou #reels 😂,83.9925,howto,2,1,92
day 90 of small habits compounding daily no going back #reels #trending #reels #trending 🙌✨👀🔥,87.7613,transformation,4,4,93
day 90 of proof that change is possible and it changed me #foryou 👀❤️🔥,80.0049,transformation,1,3,70
im so tired of another pointless software update again im done #reels,35.9733,rant,1,0,69
day 90 of the before and after nobody believed you can too #daily #daily #fyp #explore 😂👀✨,57.004,transformation,4,3,90
nobody asked but another pointless software update again thats all worst #fyp #reels #shorts 😭🙌😂,17.451,rant,3,3,96
just some pure gentle love on an ordinary day be gentle today #fyp 😂😭,56.7039,wholesome,1,2,69
a tiny reminder grandma laughing at the table hold your people close 😭,53.9788,wholesome,0,1,70
a tiny reminder a dog reunited with its family hold your people close #foryou #reels #reels #foryou #trending,90.8016,wholesome,5,0,109
the glow up is proof that change is possible and it changed me 🙌,54.4531,transformation,0,1,64
the glow up is small habits compounding daily you can too #viral #foryou 😂,76.2243,transformation,2,1,74
step by step setting up the spreadsheet correctly save this for later #explore #daily #trending #daily #reels 👀❤️😭👀,59.2627,howto,5,4,115
im so tired of people who chew loudly in meetings thats all hate #daily #fyp #explore #reels #fyp 😂,26.6665,rant,5,1,99
link in bio for the new collection just launched shop now boring #reels #fyp #fyp #viral #foryou,20.3002,promo,5,0,96
limited drop twenty percent off everything storewide shop now ❤️😂❤️,34.0825,promo,0,3,67
day 90 of the before and after nobody believed no going back #fyp #viral,57.6627,transformation,2,0,72
day 90 of finally healed and thriving and it changed me 👀,75.6001,transformation,0,1,57
here is exactly how folding a fitted sheet properly save this for later beautiful #fyp ❤️👀,54.8569,howto,1,2,90
link in bio for buy two and get one free dont wait #trending #viral,42.458,promo,2,0,67
link in bio for exclusive bundle while supplies last shop now #fyp #viral 🙌,49.2058,promo,2,1,75
a tiny reminder grandma laughing at the table this is everything 😂😂👀✨,65.4072,wholesome,0,4,69
im so tired of slow walkers blocking the whole aisle anyway whatever ❤️🙌❤️,36.4557,rant,0,3,74
link in bio for biggest sale of the entire season selling fast #daily #explore #shorts #fyp #fyp ✨,39.6285,promo,5,1,98
a quick guide to folding a fitted sheet properly try it tonight worst #trending #trending #trending 🔥,57.4225,howto,3,1,101
unpopular opinion but traffic on a road with no reason thats all worst #shorts #trending 🙌😭🔥✨,39.7374,rant,2,4,93
found so much a dog reunited with its family this is everything #trending ✨😂,73.957,wholesome,1,2,76
the simple method for cleaning grout without scrubbing forever save this for later amazing #daily 💯🔥🔥,65.8835,howto,1,3,101
soft moment of gentle love on an ordinary day this is everything boring #reels #reels #daily #viral 👀😭😭😂,56.3793,wholesome,4,4,104
the glow up is small habits compounding daily keep going #trending 💯👀🙌😂,75.9457,transformation,1,4,71
watch this become the before and after nobody believed no going back #trending #trending #foryou #trending #shorts 😭🔥✨,69.5958,transformation,5,3,118
unpopular opinion but another pointless software update again end of rant awful #reels #trending #trending #fyp,27.2166,rant,4,0,111
soft moment of gentle love on an ordinary day stay soft best #daily #foryou #shorts,70.2137,wholesome,3,0,83
can we stop slow walkers blocking the whole aisle im done #reels ❤️💯😂,35.3258,rant,1,3,69
a tiny reminder comfort and warmth and home be gentle today #shorts #viral #fyp 💯😭,76.6379,wholesome,3,2,82
watch this become small habits compounding daily keep going hate #viral #fyp #daily #fyp 🙌🙌👀😂,62.5929,transformation,4,4,93
can we stop another pointless software update again end of rant 💯🔥😂,21.4401,rant,0,3,67
use my code biggest sale of the entire season selling fast #fyp #fyp #daily #daily ❤️,46.6821,promo,4,1,85
im so tired of the constant noise from the neighbors anyway whatever #daily #fyp #trending #reels 😂❤️,25.6753,rant,4,2,101
a tiny reminder a dog reunited with its family stay soft #shorts #trending #fyp,71.1777,wholesome,3,0,79
from broken to rebuilt myself stronger you can too boring #shorts 👀🙌😂,79.725,transformation,1,3,69
dont miss the subscribe for the discount today shop now annoying #explore ❤️,22.4115,promo,1,1,76
soft moment of friends showing up when it mattered hold your people close #trending #reels #foryou #viral 🔥🙌🙌,67.4544,wholesome,4,3,109
soft moment of grandma laughing at the table stay soft best #reels #trending #daily #trending,83.0889,wholesome,4,0,93
im so tired of traffic on a road with no reason thats all #daily #shorts 🙌😂🙌💯,20.9266,rant,2,4,77
day 90 of finally healed and thriving keep going best 😂👀❤️👀,79.8195,transformation,0,4,59
watch this become rebuilt myself stronger no going back beautiful #trending #viral #trending #foryou #explore 👀❤️,88.967,transformation,5,2,113
here is exactly how wiring the shelf bracket safely works every time happy ❤️💯🔥👀,74.9434,howto,0,4,80
step by step cleaning grout without scrubbing forever works every time amazing #fyp #foryou #daily #shorts 🔥👀💯,57.1452,howto,4,3,110
day 90 of proof that change is possible you can too #daily #fyp #reels 🙌🙌,60.8879,transformation,3,2,73
soft moment of grandma laughing at the table hold your people close hate #daily #reels #explore 😂😂❤️😭,64.9024,wholesome,3,4,101
step by step fixing a leaking faucet yourself works every time boring 👀❤️👀,43.6246,howto,0,3,74
unpopular opinion but the constant noise from the neighbors thats all #daily #trending ✨,37.4952,rant,2,1,88
link in bio for twenty percent off everything storewide act quickly boring #fyp #trending #foryou #daily 😂🙌,29.4737,promo,4,2,107
day 90 of finally healed and thriving keep going 😭,73.1561,transformation,0,1,50
use my code biggest sale of the entire season dont wait happy #fyp 😭💯😂,42.3998,promo,1,3,70
a tiny reminder comfort and warmth and home stay soft beautiful 🔥✨😭,70.7903,wholesome,0,3,67
from broken to finally healed and thriving you can too amazing #trending #trending #explore #daily 😂😂🔥🔥,79.5663,transformation,4,4,103
here is exactly how folding a fitted sheet properly try it tonight boring #viral #reels,54.1674,howto,2,0,87
step by step organizing a tiny kitchen efficiently try it tonight #explore #daily #shorts #shorts #foryou 🙌,57.9494,howto,5,1,107
the glow up is rebuilt myself stronger and it changed me #foryou #viral #reels 🙌❤️,63.2237,transformation,3,2,82
dont miss the twenty percent off everything storewide selling fast love #fyp #fyp,40.3931,promo,2,0,81
soft moment of grandma laughing at the table hold your people close #trending 😭,100.0,wholesome,1,1,79
link in bio for subscribe for the discount today selling fast #reels 😂,39.2242,promo,1,1,70
the simple method for wiring the shelf bracket safely try it tonight boring #viral #reels #viral #viral #daily,46.2995,howto,5,0,110
use my code twenty percent off everything storewide dont wait love #shorts #trending #shorts #explore #viral 🔥✨,42.8163,promo,5,2,111
nobody asked but the constant noise from the neighbors end of rant boring #viral ❤️❤️👀🙌,25.3251,rant,1,4,87
the glow up is the before and after nobody believed and it changed me annoying #viral ✨😭❤️,67.1983,transformation,1,3,90
a tiny reminder friends showing up when it mattered hold your people close #reels #reels #trending #viral #trending 😂,80.8865,wholesome,5,1,117
soft moment of gentle love on an ordinary day this is everything #reels #foryou,65.2582,wholesome,2,0,79
use my code the new collection just launched act quickly #shorts ❤️,47.5624,promo,1,1,67
nobody asked but endless emails that should be calls anyway whatever #viral #viral,34.0098,rant,2,0,82
use my code buy two and get one free selling fast boring ❤️💯👀,41.7927,promo,0,3,61
the glow up is the before and after nobody believed keep going #reels #viral #viral,83.3954,transformation,3,0,83
from broken to proof that change is possible and it changed me boring #viral #explore ✨,65.1215,transformation,2,1,87
dont miss the subscribe for the discount today selling fast #daily #reels #daily #reels #explore 🔥😂💯,43.5596,promo,5,3,100
the glow up is finally healed and thriving you can too #shorts #foryou #daily #daily 🔥👀❤️,80.7771,transformation,4,3,89
im so tired of people who chew loudly in meetings anyway whatever ❤️👀,21.2631,rant,0,2,69
here is exactly how folding a fitted sheet properly works every time happy #viral #viral #explore #daily #explore 💯💯❤️😂,75.1479,howto,5,4,119
limited drop exclusive bundle while supplies last dont wait #viral #reels #daily #trending 🔥😭🔥🔥,43.6539,promo,4,4,95
a quick guide to organizing a tiny kitchen efficiently save this for later happy #reels #daily #viral #foryou #shorts 😂🙌👀😂,53.0609,howto,5,4,122
watch this become proof that change is possible you can too 👀😂❤️😂,79.9345,transformation,0,4,65
soft moment of a dog reunited with its family be gentle today #foryou #trending #shorts #explore 🙌✨✨,70.458,wholesome,4,3,100
soft moment of a dog reunited with its family stay soft awful #daily #shorts ❤️❤️💯,45.3366,wholesome,2,3,82
soft moment of kindness shared between strangers hold your people close #foryou #viral ✨🔥,61.3085,wholesome,2,2,89
step by step wiring the shelf bracket safely try it tonight #foryou #viral 🙌,58.0241,howto,2,1,76
found so much comfort and warmth and home this is everything 😂,53.0786,wholesome,0,1,62
a quick guide to folding a fitted sheet properly save this for later #foryou 🙌✨👀✨,65.7307,howto,1,4,81
a tiny reminder gentle love on an ordinary day this is everything boring #fyp,64.5458,wholesome,1,0,77
found so much grandma laughing at the table hold your people close #daily #explore #explore #shorts #shorts 👀😭✨🔥,53.4935,wholesome,5,4,112
unpopular opinion but people who chew loudly in meetings thats all beautiful #foryou #explore #reels #fyp 👀🙌😭,26.0021,rant,4,3,109
use my code twenty percent off everything storewide act quickly amazing 👀,34.1227,promo,0,1,73
can we stop people who chew loudly in meetings im done #reels #explore #shorts 😂😭💯,19.1677,rant,3,3,82
a quick guide to wiring the shelf bracket safely thank me later 👀😭💯😭,52.956,howto,0,4,68
soft moment of kindness shared between strangers this is everything #daily #fyp #trending #fyp #viral ❤️💯💯,66.4483,wholesome,5,3,106
im so tired of people who chew loudly in meetings im done #trending #fyp #reels #explore #foryou,18.3082,rant,5,0,96
a quick guide to folding a fitted sheet properly save this for later boring #reels #reels #daily ✨💯,31.9818,howto,3,2,99
can we stop traffic on a road with no reason im done 👀👀😭😂,50.6158,rant,0,4,57
soft moment of gentle love on an ordinary day be gentle today beautiful #fyp #reels #explore #explore,96.4907,wholesome,4,0,101
day 90 of small habits compounding daily and it changed me #fyp #daily ✨💯🔥❤️,77.8503,transformation,2,4,76
im so tired of traffic on a road with no reason im done #trending #explore #explore 🙌🙌💯,24.3907,rant,3,3,87
use my code biggest sale of the entire season dont wait ❤️✨💯,35.0576,promo,0,3,60
day 90 of reinventing everything from scratch you can too #fyp ❤️❤️😂,80.1732,transformation,1,3,68
use my code biggest sale of the entire season selling fast annoying #fyp #trending ✨✨💯,40.2133,promo,2,3,86
just some pure comfort and warmth and home this is everything awful #fyp #daily #viral #explore #fyp,75.4374,wholesome,5,0,100
limited drop biggest sale of the entire season dont wait #viral #shorts #shorts,24.3999,promo,3,0,79
unpopular opinion but another pointless software update again im done #daily #foryou #shorts #viral 💯,24.7857,rant,4,1,101
link in bio for twenty percent off everything storewide selling fast #fyp #foryou #explore 💯😂❤️✨,29.7904,promo,3,4,96
unpopular opinion but endless emails that should be calls anyway whatever #explore #fyp #explore 💯😭,32.0935,rant,3,2,99
soft moment of comfort and warmth and home this is everything #trending #fyp #reels #fyp #shorts 😂✨👀,83.1301,wholesome,5,3,100
im so tired of the constant noise from the neighbors end of rant beautiful #foryou #daily #shorts,29.1376,rant,3,0,97
day 90 of rebuilt myself stronger no going back best #daily #fyp #foryou 💯😭😂✨,76.7608,transformation,3,4,77
im so tired of slow walkers blocking the whole aisle thats all hate #explore 🔥😂,14.6176,rant,1,2,79
dont miss the the new collection just launched shop now 🔥🔥,41.1963,promo,0,2,58
soft moment of grandma laughing at the table stay soft #foryou #daily ✨🔥💯🙌,85.8597,wholesome,2,4,74
found so much grandma laughing at the table hold your people close #fyp ✨😂,72.9545,wholesome,1,2,74
watch this become small habits compounding daily no going back beautiful #trending #viral 💯🙌,88.3193,transformation,2,2,92
found so much comfort and warmth and home this is everything beautiful #reels #foryou #foryou ✨😂🔥,54.0128,wholesome,3,3,97
just some pure kindness shared between strangers stay soft #reels 😭😂,63.7899,wholesome,1,2,68
use my code biggest sale of the entire season act quickly #viral #daily #foryou #fyp 🔥🙌😭✨,33.708,promo,4,4,89
can we stop people who chew loudly in meetings thats all amazing #foryou #viral 🙌,35.8478,rant,2,1,81
watch this become proof that change is possible you can too love #shorts 🙌,63.6291,transformation,1,1,74
here is exactly how fixing a leaking faucet yourself thank me later best #shorts 😭💯,56.1782,howto,1,2,83
the glow up is finally healed and thriving and it changed me beautiful #explore #explore #explore #shorts #foryou ❤️,88.6609,transformation,5,1,116
unpopular opinion but the constant noise from the neighbors end of rant #shorts #shorts #trending #explore,19.8113,rant,4,0,106
a tiny reminder friends showing up when it mattered this is everything beautiful 🙌💯❤️🙌,73.8857,wholesome,0,4,86
the simple method for setting up the spreadsheet correctly thank me later #shorts #daily #daily 💯✨❤️,46.8718,howto,3,3,100
from broken to the before and after nobody believed no going back,85.482,transformation,0,0,65
found so much grandma laughing at the table stay soft boring #foryou #viral #daily,58.5447,wholesome,3,0,82
unpopular opinion but traffic on a road with no reason thats all boring #viral #shorts 😂✨✨,26.2787,rant,2,3,90
the simple method for organizing a tiny kitchen efficiently try it tonight #viral #explore 🔥🔥❤️😭,63.2911,howto,2,4,96
im so tired of another pointless software update again im done #viral #trending 😭,41.4699,rant,2,1,81
limited drop the new collection just launched act quickly happy #explore #explore #foryou 🙌,35.3641,promo,3,1,91
the simple method for fixing a leaking faucet yourself thank me later #reels 😭,38.6757,howto,1,1,78
dont miss the biggest sale of the entire season selling fast amazing #reels #trending #daily #foryou #daily,27.2291,promo,5,0,107
found so much comfort and warmth and home stay soft best #daily #foryou #viral 😂🔥,67.6337,wholesome,3,2,81
soft moment of gentle love on an ordinary day be gentle today amazing #explore #fyp #explore #reels #fyp ❤️,83.6139,wholesome,5,1,107
from broken to the before and after nobody believed you can too annoying 😭👀😭,57.2979,transformation,0,3,76
day 90 of the before and after nobody believed you can too amazing #shorts #foryou #reels #trending,87.4811,transformation,4,0,99
soft moment of friends showing up when it mattered be gentle today #explore #daily,76.17,wholesome,2,0,82
nobody asked but another pointless software update again end of rant awful,30.6056,rant,0,0,74
unpopular opinion but traffic on a road with no reason anyway whatever worst #shorts #foryou #foryou #trending 🔥,15.0262,rant,4,1,112
dont miss the buy two and get one free act quickly happy #shorts #foryou #shorts 👀👀❤️,24.8559,promo,3,3,85
a tiny reminder grandma laughing at the table hold your people close #daily #trending #trending #shorts ✨😭,64.7553,wholesome,4,2,106
a quick guide to cleaning grout without scrubbing forever save this for later #viral #foryou 🔥,60.8065,howto,2,1,94
the simple method for organizing a tiny kitchen efficiently try it tonight #viral #explore #viral #trending 🙌✨,41.2626,howto,4,2,110
a quick guide to setting up the spreadsheet correctly works every time #daily #foryou #shorts #fyp,54.1018,howto,4,0,98
soft moment of gentle love on an ordinary day be gentle today #viral 💯👀❤️👀,70.1904,wholesome,1,4,74
found so much kindness shared between strangers stay soft awful,56.2201,wholesome,0,0,63
from broken to the before and after nobody believed no going back love 👀❤️,81.0098,transformation,0,2,74
use my code biggest sale of the entire season dont wait #trending #foryou #shorts #viral 😂😂,23.0846,promo,4,2,91
use my code twenty percent off everything storewide shop now best 💯❤️,52.6971,promo,0,2,69
the simple method for folding a fitted sheet properly try it tonight beautiful #fyp #viral #reels ✨💯,63.4273,howto,3,2,100
limited drop biggest sale of the entire season selling fast #foryou #reels,60.5856,promo,2,0,74
here is exactly how organizing a tiny kitchen efficiently save this for later boring #foryou #foryou #daily #shorts 👀,53.6479,howto,4,1,117
nobody asked but another pointless software update again anyway whatever #viral #trending #reels 😭👀😭❤️,30.7827,rant,3,4,102
found so much a dog reunited with its family hold your people close beautiful #daily #explore #viral ❤️🔥,68.0345,wholesome,3,2,104
nobody asked but traffic on a road with no reason end of rant #shorts #explore #explore #fyp #trending,0.7803,rant,5,0,102
link in bio for subscribe for the discount today act quickly beautiful,39.3873,promo,0,0,70
step by step folding a fitted sheet properly save this for later #explore #shorts #daily ❤️❤️,47.7554,howto,3,2,93
step by step wiring the shelf bracket safely save this for later hate #shorts #fyp #shorts #explore #reels 🔥❤️,45.8461,howto,5,2,110
the simple method for wiring the shelf bracket safely save this for later 👀😭,32.4364,howto,0,2,76
just some pure a dog reunited with its family hold your people close beautiful #viral #reels #viral #fyp #explore,83.2068,wholesome,5,0,113
the glow up is proof that change is possible you can too hate #fyp #shorts #reels 🙌😭,73.177,transformation,3,2,84
step by step setting up the spreadsheet correctly thank me later #trending #shorts #daily #shorts #fyp 😂🔥❤️💯,55.515,howto,5,4,108
the glow up is small habits compounding daily and it changed me hate #viral #shorts #explore 👀👀,68.1565,transformation,3,2,95
a quick guide to folding a fitted sheet properly try it tonight #foryou #foryou #daily ❤️,53.6755,howto,3,1,89
im so tired of endless emails that should be calls anyway whatever best 😂🔥👀,13.8334,rant,0,3,75
unpopular opinion but people who chew loudly in meetings thats all #explore #fyp #shorts,40.1437,rant,3,0,88
nobody asked but people who chew loudly in meetings thats all #daily #trending #explore 👀,14.0383,rant,3,1,89
found so much a dog reunited with its family stay soft #fyp #foryou #trending 🔥,81.998,wholesome,3,1,79
just some pure friends showing up when it mattered stay soft annoying #explore #daily #daily #foryou ✨😭🔥,62.334,wholesome,4,3,104
use my code the new collection just launched act quickly beautiful #reels #shorts ✨🔥❤️🙌,34.9443,promo,2,4,87
a quick guide to organizing a tiny kitchen efficiently works every time #explore #fyp #foryou #foryou #shorts 🙌✨😭,61.585,howto,5,3,113
step by step fixing a leaking faucet yourself try it tonight best 😂❤️,54.3519,howto,0,2,69
found so much comfort and warmth and home this is everything annoying #daily #reels #shorts #viral 🔥🙌,57.4498,wholesome,4,2,101
im so tired of another pointless software update again anyway whatever #reels #explore ✨,24.0022,rant,2,1,88
step by step wiring the shelf bracket safely works every time best #fyp #trending #trending #reels #daily ✨✨✨,48.1027,howto,5,3,109
here is exactly how setting up the spreadsheet correctly thank me later worst #shorts 💯😂🔥🔥,69.9176,howto,1,4,90
dont miss the the new collection just launched selling fast 💯🙌✨💯,59.7196,promo,0,4,64
im so tired of traffic on a road with no reason thats all #shorts #viral #reels #foryou 😭,32.1908,rant,4,1,89
watch this become small habits compounding daily keep going 🙌👀❤️🙌,48.6259,transformation,0,4,65
day 90 of reinventing everything from scratch you can too hate #explore #explore 🔥🙌❤️,63.0917,transformation,2,3,85
the glow up is rebuilt myself stronger you can too boring #viral #explore 👀,73.6545,transformation,2,1,75
the simple method for folding a fitted sheet properly thank me later amazing #daily #foryou #fyp ❤️😂,66.6462,howto,3,2,100
dont miss the subscribe for the discount today shop now,28.7831,promo,0,0,55
unpopular opinion but the constant noise from the neighbors thats all annoying #foryou #trending #trending #explore 🔥,11.7056,rant,4,1,117
nobody asked but people who chew loudly in meetings im done worst 🙌✨💯😂,25.6496,rant,0,4,70
use my code biggest sale of the entire season act quickly best 🙌,30.7897,promo,0,1,64
the glow up is reinventing everything from scratch keep going love 😂❤️,79.0072,transformation,0,2,70
just some pure kindness shared between strangers hold your people close #trending #shorts #explore,53.1786,wholesome,3,0,98
watch this become proof that change is possible and it changed me #explore #viral #daily,57.5514,transformation,3,0,88
limited drop subscribe for the discount today act quickly beautiful #viral #fyp #shorts #foryou #foryou 💯✨😂,32.3553,promo,5,3,107
limited drop exclusive bundle while supplies last act quickly #fyp #shorts #trending #fyp #foryou 🙌❤️,40.5399,promo,5,2,101
dont miss the subscribe for the discount today act quickly happy #viral #explore 👀👀,38.5683,promo,2,2,83
found so much comfort and warmth and home stay soft #explore #viral #explore #fyp 😂,85.8985,wholesome,4,1,83
found so much gentle love on an ordinary day be gentle today #trending #foryou #trending #shorts,63.4627,wholesome,4,0,96
soft moment of kindness shared between strangers this is everything #viral 😭💯,79.7889,wholesome,1,2,77
use my code subscribe for the discount today shop now happy #foryou #trending #fyp 😂,35.4828,promo,3,1,84
a quick guide to wiring the shelf bracket safely save this for later #daily #explore #shorts #shorts 😂,46.9029,howto,4,1,102
soft moment of kindness shared between strangers hold your people close awful ✨💯✨✨,63.1085,wholesome,0,4,82
link in bio for twenty percent off everything storewide selling fast happy #foryou #viral #foryou 🙌🔥✨,56.5727,promo,3,3,101
nobody asked but the constant noise from the neighbors anyway whatever #explore 🔥🔥,46.0222,rant,1,2,82
the glow up is the before and after nobody believed you can too worst #viral #viral #reels #trending ✨🙌🔥💯,71.0443,transformation,4,4,105
im so tired of endless emails that should be calls anyway whatever,20.0005,rant,0,0,66
found so much friends showing up when it mattered this is everything best #foryou #reels,56.3886,wholesome,2,0,88
a tiny reminder comfort and warmth and home this is everything 🔥✨🔥🔥,71.1722,wholesome,0,4,67
found so much comfort and warmth and home stay soft #trending #reels #fyp #explore #reels ✨😭,84.4781,wholesome,5,2,92
a quick guide to organizing a tiny kitchen efficiently save this for later #daily #daily 🙌💯,60.9708,howto,2,2,91
use my code the new collection just launched shop now awful 😂,28.9178,promo,0,1,61
